_id,리뷰수,장소,캠핑장이름,평점
233,19,충북 충주시 앙성면 모점1길 229,밤별캠핑장,1.6
234,1,충북 제천시 한수면 송계리 산 46-1,월악산국립공원 덕주야영장,4.1
235,14,강원 원주시 부론면 흥호리 659-1,섬강두꺼비 오토캠핑장,5
236,17,강원 정선군 정선읍 가리왕산로 570-6,회동솔향캠핑장,3.8
237,44,경북 경주시 산내면 문복로 333-199,문복산캠핑장,5
238,43,충북 제천시 청풍면 용곡길211번길 2,청풍호반 오토캠핑장,3
239,13,인천 계양구 귤현동 28-1,두리캠핑장,4
240,23,울산 울주군 상북면 배내로 1064-4,들살이오토캠핑장,5
241,9,경기 여주시 강천면 걸촌동길 40,자연촌 여주참숯마을,3.2
242,11,경북 영천시 고경면 고도길 38,영천드림랜드 오토캠핑장,1
243,31,경기 용인시 처인구 원삼면 보개원삼로1462번길 14-23,용인단풍숲캠핑장,4.3
244,14,전북 정읍시 내장산로 410,정읍시 국민여가캠핑장,4.5
245,19,경기 용인시 처인구 원삼면 원양로591번길 93-28,용인자연숲캠핑장,4.4
246,6,전남 여수시 돌산읍 돌산로 3017-15,여수시 굴전여가캠핑장,3.3
247,11,전북 남원시 산내면 와운길 10,뱀사골자동차야영장,4
248,26,경기 연천군 청산면 거저울길 339,땅에미소 오토캠핑장,4.3
249,15,경기 포천시 관인면 사정리 75,화적연캠핑장,3.9
250,33,서울 강북구 우이동 316,우이동가족캠핑장,2.8
251,47,충남 공주시 유구읍 무드리길 64,사계절캠핑장,2
252,22,경기 포천시 이동면 화동로 2318-6,도마치캠핑장,3.3
253,44,부산 금정구 체육공원로 270,늘푸른숲,4
254,6,경기 포천시 영북면 비둘기낭길 116,비둘기낭캠핑장,5
255,27,경기 시흥시 죽율로 25,작은쉼터캠핑장,2.8
256,42,부산 기장군 정관읍 병산1길 18,초원숲속글램핑,3.8
257,6,인천 중구 영종해안남로 1403,영종씨사이드파크카라반캠핑장,3.2
258,35,경북 청도군 청도읍 청매로 283-47,캠프안단테캠핑장,5
259,12,경기 가평군 설악면 묵안로 626-17,세라핌글램핑,1.8
260,18,경북 성주군 수륜면 가야산식물원길 17,가야산국립공원 백운동야영장,5
261,15,경기 광주시 도척면 저수지길 224-39,곤지암야영장,4.5
262,9,경남 산청군 삼장면 덕산대포로245번길 26,대포숲펜션캠핑장,4.5
263,8,충북 괴산군 청천면 후평도원로 129-19,후평숲캠핑장,3.3
264,24,경남 고성군 동해면 외산로 353,놀터캠핑장,3.5
265,15,경기 고양시 일산서구 킨텍스로 217-25,킨텍스캠핑장,5
266,93,인천 옹진군 영흥면 영흥로757번길 234-13,블랙트리캠핑장,4.5
267,26,경기 화성시 향남읍 도이2길 113-26,향남오토캠핑장,3
268,27,경남 김해시 생림면 인제로 545-59,천문대오토캠핑장,2
269,33,경기 파주시 조리읍 장곡로 218,공릉관광지 캠핑장,4.5
270,5,충남 보령시 오천면 원산도리 1671-79,캠핑해씨유,5
271,24,서울 마포구 상암동 478-1,노을공원 노을캠핑장,3.3
272,26,경기 가평군 북면 화악산로 254-38,하늘숲글램핑파크,3.8
273,19,전북 부안군 변산면 변산로 2054,변산오토캠핑장,1
274,2,충북 제천시 한수면 송계리 70-2,닷돈재 풀옵션캠핑존,4.5
275,13,전남 고흥군 포두면 팔영로 405,해창만오토캠핑장,1.6
276,15,충북 청주시 청원구 오창읍 화복로 780-106,더오창호,3.5
277,12,경기 용인시 처인구 양지면 한터로454번길 33-17,용인랜드 숲속캠핑장,1.8
278,15,전북 정읍시 종황길 92,자두마을,0
279,16,경기 양평군 옥천면 사기점길 53,솔뜰캠핑장,5
280,13,강원 고성군 현내면 명파4길 47,명파해변오토캠핑장,3.3
281,20,경남 창원시 의창구 북면 달천길 150,달천공원오토캠핑장,4
282,16,경북 성주군 금수면 무학리 47,금수문화공원 야영장,3
283,9,충북 제천시 봉양읍 용두대로40길 172-32,제천캠핑랜드,2.7
